# 
# # The 1 sigma error on all flux measurements is 0.1
# 
# # Time [s], Flux event 0, Flux event 1, Flux event 2, Flux event 3, Flux event 4, Flux event 5, Flux event 6, Flux event 7, Flux event 8, Flux event 9
-3.60000e+01 1.12131e+00 4.88913e-02 3.21917e-02 1.07123e-01 1.83186e-01 8.82173e-02 1.01894e-01 1.83735e-01 1.02917e-01 1.83686e-01
-3.50000e+01 1.08854e+00 2.18871e-01 1.49216e-01 1.09426e-01 6.38899e-02 4.89795e-02 1.85805e-01 3.60747e-01 7.39303e-02 2.62192e-01
-3.40000e+01 1.15234e+00 9.99202e-02 2.75213e-02 1.03755e-01 -1.05096e-01 7.94621e-02 2.33000e-01 3.11905e-01 -2.13684e-01 2.93421e-01
-3.30000e+01 1.20655e+00 2.66766e-01 -5.36683e-02 1.95988e-01 1.84374e-01 1.44194e-01 -5.01813e-02 2.41082e-01 -5.26341e-02 5.41113e-01
-3.20000e+01 1.19006e+00 1.72116e-01 9.59635e-02 3.97907e-02 2.76841e-01 1.86546e-01 2.35312e-01 4.21826e-01 -9.27819e-02 3.99249e-01
-3.10000e+01 1.36690e+00 1.23606e-01 1.20186e-01 3.50139e-02 4.08288e-01 2.93160e-01 2.44113e-01 3.64700e-01 -3.13606e-02 5.09307e-01
-3.00000e+01 1.46575e+00 4.43166e-01 -4.37713e-02 3.06454e-01 9.43128e-02 2.45508e-01 2.22769e-01 5.84122e-01 7.71234e-02 4.81975e-01
-2.90000e+01 1.56965e+00 2.06176e-01 1.58779e-01 2.57778e-01 2.42419e-01 4.09981e-01 2.08849e-01 3.36115e-01 1.62072e-01 5.91618e-01
-2.80000e+01 1.55356e+00 1.92678e-01 2.34199e-01 2.48153e-01 1.41381e-01 1.03693e-01 9.04998e-02 4.86747e-01 -2.41480e-02 4.75681e-01
-2.70000e+01 1.82786e+00 1.06163e-01 1.03678e-01 8.63911e-02 2.07970e-01 2.69155e-01 1.93707e-02 6.51905e-01 -3.55777e-02 4.73581e-01
-2.60000e+01 1.94834e+00 3.35472e-01 1.16778e-01 2.35692e-01 1.59297e-01 3.66479e-01 -1.83677e-02 6.13695e-01 4.03306e-02 4.95345e-01
-2.50000e+01 1.90880e+00 3.09822e-01 -8.90921e-02 2.38103e-01 3.30157e-01 4.46514e-02 1.77794e-01 6.56477e-01 1.13936e-01 6.84319e-01
-2.40000e+01 2.09159e+00 1.49645e-01 -3.60295e-03 3.01088e-01 2.55331e-01 3.01882e-01 2.83176e-01 5.55089e-01 -3.74033e-02 9.01572e-01
-2.30000e+01 2.25481e+00 2.91553e-01 1.25936e-01 3.31234e-01 -5.89208e-02 3.47026e-01 2.69955e-01 5.39086e-01 -1.15731e-01 7.28586e-01
-2.20000e+01 2.46733e+00 5.24333e-01 -1.53441e-02 3.88996e-01 1.34154e-01 4.98801e-01 2.41690e-01 8.74697e-01 9.97797e-02 6.56352e-01
-2.10000e+01 2.72867e+00 2.90846e-01 2.67638e-02 2.31816e-01 3.53720e-01 2.42268e-01 3.45082e-01 8.34597e-01 3.03433e-02 9.64138e-01
-2.00000e+01 2.99152e+00 3.13682e-01 1.35774e-01 2.70719e-01 1.21241e-01 3.66126e-01 1.97608e-01 8.53774e-01 -4.49872e-02 8.16139e-01
-1.90000e+01 3.02989e+00 3.41625e-01 1.24962e-01 2.88030e-01 2.69751e-01 4.97048e-01 7.29566e-02 1.01740e+00 -1.75078e-01 9.61516e-01
-1.80000e+01 3.37116e+00 4.13543e-01 1.19712e-01 2.29476e-01 2.49554e-01 6.54682e-01 2.99716e-01 9.97351e-01 -1.70990e-03 1.15384e+00
-1.70000e+01 3.45385e+00 6.28131e-01 3.60148e-02 5.58129e-01 2.18952e-01 3.89968e-01 2.01596e-01 1.09730e+00 -6.69176e-02 1.19102e+00
-1.60000e+01 4.13910e+00 4.22834e-01 2.87597e-01 3.41991e-01 3.31076e-01 4.02186e-01 3.24281e-01 1.15252e+00 4.51145e-02 1.33888e+00
-1.50000e+01 4.34965e+00 2.23573e-01 7.94003e-02 4.81722e-01 3.83493e-01 5.59477e-01 3.64012e-01 1.24224e+00 7.28816e-02 1.52550e+00
-1.40000e+01 4.97708e+00 6.81077e-01 3.10114e-01 4.77129e-01 4.12946e-01 7.41914e-01 2.09120e-01 1.44247e+00 -1.03449e-01 1.40055e+00
-1.30000e+01 5.36246e+00 6.31362e-01 1.28647e-01 6.89417e-01 4.87487e-01 8.18043e-01 2.94435e-01 1.57521e+00 -1.20606e-01 1.89700e+00
-1.20000e+01 6.28969e+00 6.79797e-01 3.77133e-01 6.34459e-01 5.95776e-01 1.00586e+00 4.89487e-01 1.76374e+00 -2.17694e-01 1.96833e+00
-1.10000e+01 6.64549e+00 8.89308e-01 4.20364e-01 7.51420e-01 4.49286e-01 8.97725e-01 6.05696e-01 2.07251e+00 -2.59983e-02 2.32860e+00
-1.00000e+01 7.57483e+00 8.21306e-01 4.28765e-01 8.72652e-01 5.82750e-01 8.44869e-01 5.95160e-01 2.15821e+00 -2.74262e-02 2.63543e+00
-9.00000e+00 8.30541e+00 7.37636e-01 2.44049e-01 1.03648e+00 8.55573e-01 1.20831e+00 5.33385e-01 2.46529e+00 1.30462e-01 2.86774e+00
-8.00000e+00 9.39626e+00 7.81356e-01 3.53100e-01 9.62631e-01 9.39747e-01 1.33190e+00 8.08665e-01 2.62452e+00 1.39664e-01 3.28791e+00
-7.00000e+00 1.03380e+01 9.62567e-01 5.83400e-01 9.65046e-01 1.10555e+00 1.26987e+00 6.16092e-01 2.86527e+00 8.50194e-02 3.41202e+00
-6.00000e+00 1.16507e+01 1.13666e+00 5.48395e-01 1.24661e+00 1.19447e+00 1.50986e+00 7.14793e-01 3.06154e+00 8.24787e-02 3.89657e+00
-5.00000e+00 1.27173e+01 1.10197e+00 4.07972e-01 1.22009e+00 1.53713e+00 1.39232e+00 7.46950e-01 3.60015e+00 1.77441e-01 4.36649e+00
-4.00000e+00 1.39776e+01 1.07370e+00 6.30199e-01 1.26053e+00 1.55759e+00 1.77530e+00 1.13436e+00 3.79529e+00 7.86865e-02 4.56011e+00
-3.00000e+00 1.49631e+01 1.33023e+00 7.60015e-01 1.47203e+00 1.73237e+00 1.94557e+00 9.74806e-01 4.07562e+00 1.05757e-01 5.09984e+00
-2.00000e+00 1.58210e+01 1.33028e+00 5.75689e-01 1.65609e+00 1.84829e+00 1.93295e+00 8.65880e-01 4.23735e+00 3.29586e-01 5.09447e+00
-1.00000e+00 1.63432e+01 1.36792e+00 7.43833e-01 1.74846e+00 1.94894e+00 1.94566e+00 1.10591e+00 4.34023e+00 1.76192e-01 5.41019e+00
0.00000e+00 1.67406e+01 1.40996e+00 6.37520e-01 1.67073e+00 1.96162e+00 2.07037e+00 1.01542e+00 4.26905e+00 1.18332e-01 5.70176e+00
1.00000e+00 1.63396e+01 1.53865e+00 7.57524e-01 1.81838e+00 1.98309e+00 2.12544e+00 9.26344e-01 4.25802e+00 1.07285e-01 5.39279e+00
2.00000e+00 1.58238e+01 1.23987e+00 7.33508e-01 1.62871e+00 1.80660e+00 1.85074e+00 9.45295e-01 3.99485e+00 3.18892e-01 5.49227e+00
3.00000e+00 1.50996e+01 1.31118e+00 6.04837e-01 1.63280e+00 1.62588e+00 1.98817e+00 7.72317e-01 3.88959e+00 2.10622e-01 4.95167e+00
4.00000e+00 1.39529e+01 1.25883e+00 5.64889e-01 1.38158e+00 1.51136e+00 1.80513e+00 1.16583e+00 3.63711e+00 3.43758e-01 4.65921e+00
5.00000e+00 1.28129e+01 1.28161e+00 7.16467e-01 1.23429e+00 1.39438e+00 1.70306e+00 9.75297e-01 3.28305e+00 9.05126e-02 4.36941e+00
6.00000e+00 1.16029e+01 1.15291e+00 5.76506e-01 1.14017e+00 1.20442e+00 1.52032e+00 6.87548e-01 3.27592e+00 -4.97206e-02 3.78828e+00
7.00000e+00 1.04997e+01 1.07551e+00 4.97901e-01 1.22425e+00 1.11365e+00 1.36899e+00 6.63861e-01 2.99991e+00 9.56892e-02 3.38019e+00
8.00000e+00 9.44971e+00 1.00378e+00 3.71732e-01 8.93414e-01 9.05716e-01 1.22040e+00 6.13995e-01 2.51742e+00 2.10801e-01 3.12651e+00
9.00000e+00 8.63539e+00 1.02700e+00 4.35162e-01 7.86193e-01 7.58391e-01 1.07458e+00 7.67138e-01 2.34783e+00 9.24964e-03 2.82681e+00
1.00000e+01 7.66181e+00 6.65097e-01 4.08789e-01 8.12472e-01 7.70914e-01 9.66947e-01 6.66275e-01 2.03398e+00 -2.29851e-02 2.43630e+00
1.10000e+01 6.71329e+00 6.62331e-01 6.01533e-02 5.71995e-01 5.14341e-01 7.88982e-01 4.20235e-01 1.93379e+00 1.56435e-02 2.11058e+00
1.20000e+01 6.19545e+00 7.18361e-01 3.07937e-01 6.68750e-01 5.11931e-01 8.49491e-01 5.38113e-01 1.85626e+00 3.51006e-02 1.97074e+00
1.30000e+01 5.37940e+00 3.38185e-01 2.71377e-01 5.10977e-01 4.53875e-01 6.25488e-01 3.40355e-01 1.44432e+00 8.69511e-02 1.83510e+00
1.40000e+01 4.94288e+00 5.38936e-01 6.51648e-02 4.36033e-01 4.60558e-01 3.68841e-01 1.60163e-01 1.46167e+00 1.73937e-01 1.68830e+00
1.50000e+01 4.56371e+00 4.45441e-01 -6.77139e-02 4.95254e-01 4.84389e-01 4.77148e-01 2.23429e-01 1.22409e+00 8.89343e-02 1.52754e+00
1.60000e+01 4.10519e+00 4.02676e-01 3.77873e-01 3.51913e-01 5.07196e-01 5.58013e-01 4.63797e-01 1.24109e+00 -2.09090e-03 1.34368e+00
1.70000e+01 3.69320e+00 3.46541e-01 2.02218e-01 4.13075e-01 3.96599e-01 3.76786e-01 4.71741e-01 1.04020e+00 1.36976e-01 1.16532e+00
1.80000e+01 3.44572e+00 5.39530e-01 2.52733e-01 4.75370e-01 4.13727e-01 3.62267e-01 1.64940e-01 1.13308e+00 8.40868e-02 1.08848e+00
1.90000e+01 3.08917e+00 4.62418e-01 2.01491e-01 3.18904e-01 1.57761e-01 4.15224e-01 8.54933e-02 9.20071e-01 1.08295e-01 1.09078e+00
2.00000e+01 2.89139e+00 3.10817e-01 1.71882e-01 3.60867e-01 2.49991e-01 4.17313e-01 2.26375e-01 8.94056e-01 8.26921e-02 8.89887e-01
2.10000e+01 2.60248e+00 2.70822e-01 -1.86931e-02 2.01714e-01 2.63842e-01 4.76086e-01 2.01553e-03 8.64932e-01 -1.25321e-01 7.93498e-01
2.20000e+01 2.38214e+00 3.89331e-01 1.49376e-01 4.89073e-01 1.64870e-01 2.56016e-01 2.25588e-01 5.53953e-01 2.13457e-01 7.84657e-01
2.30000e+01 2.18939e+00 3.10130e-01 1.52574e-01 1.26970e-01 5.88370e-03 1.48713e-01 1.28572e-02 6.74381e-01 -6.67211e-02 6.37489e-01
2.40000e+01 2.01179e+00 2.61758e-01 -3.81394e-02 2.39802e-01 3.03173e-01 2.29313e-01 -9.03708e-03 7.07871e-01 -1.47933e-01 6.58392e-01
2.50000e+01 1.92097e+00 1.79190e-01 1.05899e-01 2.69674e-01 2.44464e-01 1.00148e-01 4.81113e-02 5.22283e-01 3.94074e-02 6.50565e-01
2.60000e+01 1.75919e+00 1.62560e-01 2.30396e-02 2.63009e-01 2.03462e-01 2.31467e-01 2.19231e-01 5.49472e-01 -1.95275e-02 4.31423e-01
2.70000e+01 1.67221e+00 1.30440e-01 1.96783e-01 2.15115e-01 2.32007e-01 -2.08564e-02 1.16951e-01 3.69863e-01 1.41875e-01 6.09145e-01
2.80000e+01 1.47525e+00 2.71337e-01 7.96695e-02 2.54224e-01 -3.10048e-02 2.75364e-01 -4.43024e-02 6.12279e-01 1.27766e-01 5.11443e-01
2.90000e+01 1.55840e+00 4.34401e-01 6.37979e-02 3.25019e-01 -1.72205e-01 2.69125e-02 1.16415e-01 3.85410e-01 1.21398e-01 4.56951e-01
3.00000e+01 1.41249e+00 1.52359e-01 1.47407e-01 1.81375e-01 1.87481e-01 1.38143e-01 1.14974e-01 3.99747e-01 9.80453e-02 4.28486e-01
3.10000e+01 1.30276e+00 2.82818e-01 8.82637e-02 1.51969e-01 1.36954e-01 6.36860e-02 8.81540e-02 2.76296e-01 -1.36985e-01 4.42936e-01
3.20000e+01 1.22839e+00 2.39697e-01 2.11052e-02 6.35403e-02 9.68753e-02 1.20322e-01 1.18815e-01 4.08526e-01 -1.84828e-02 4.40038e-01
3.30000e+01 1.36329e+00 8.02038e-02 1.62940e-02 4.53457e-02 9.01632e-02 2.45056e-01 5.10599e-02 3.51870e-01 1.09097e-01 5.40215e-01
3.40000e+01 1.20476e+00 1.60747e-01 2.49037e-01 9.48834e-02 3.12479e-02 2.49481e-01 1.92466e-01 4.63897e-01 3.02178e-02 4.77562e-01
3.50000e+01 1.02359e+00 1.89603e-01 1.86634e-01 1.30554e-01 3.22596e-02 1.37937e-01 2.68582e-01 3.53795e-01 4.00268e-02 5.69746e-01
3.60000e+01 9.54102e-01 1.25946e-01 -1.16298e-02 -1.22649e-01 4.13011e-02 3.43350e-01 3.34172e-01 3.01403e-01 6.47774e-02 3.98018e-01
3.70000e+01 1.03091e+00 6.04593e-02 7.08350e-02 4.45293e-02 6.22268e-03 2.07304e-01 5.54397e-02 4.59646e-01 -1.72004e-01 3.83708e-01
3.80000e+01 9.84320e-01 2.00324e-01 7.90944e-02 1.39088e-01 9.69227e-02 8.54046e-02 1.61278e-01 3.63012e-01 1.96456e-02 4.23038e-01
3.90000e+01 9.10301e-01 1.68598e-01 3.64116e-03 3.72227e-02 3.64680e-02 3.65961e-02 -3.97881e-02 5.61454e-01 -3.29445e-02 4.24075e-01
4.00000e+01 7.54031e-01 6.29484e-02 3.65715e-02 1.03451e-01 -1.35589e-01 -1.06338e-02 -2.84625e-02 8.51497e-02 -1.42593e-02 2.43749e-01
4.10000e+01 6.30549e-01 1.08395e-01 1.95568e-01 2.77403e-03 1.71056e-01 8.74626e-02 1.05321e-01 1.65361e-01 6.13351e-02 1.46480e-01
4.20000e+01 8.28959e-01 1.80769e-02 8.85342e-02 1.73473e-01 -6.39324e-02 -3.15617e-02 3.18430e-02 2.03119e-01 -2.10938e-02 3.06357e-01
4.30000e+01 7.25728e-01 4.95581e-02 5.79822e-02 -5.59156e-02 1.06483e-01 3.54127e-02 1.14120e-01 1.51237e-01 7.15482e-02 3.07707e-01
4.40000e+01 6.21533e-01 3.11537e-01 1.89848e-01 -2.10810e-02 -5.41701e-02 -8.77386e-03 2.63361e-01 2.67659e-01 -8.62568e-02 3.03081e-01
4.50000e+01 6.12207e-01 -2.36411e-02 -5.67148e-02 -4.76218e-02 1.01300e-01 -4.90165e-02 3.02290e-02 1.33718e-01 -9.67249e-03 1.65474e-01
4.60000e+01 6.72230e-01 -2.30261e-01 9.34705e-02 2.41882e-01 -7.66076e-02 5.88913e-02 -9.77378e-02 2.33147e-01 -1.40246e-02 2.85901e-01
4.70000e+01 6.57215e-01 1.36640e-01 4.89941e-02 8.75978e-02 1.31607e-02 1.41937e-01 -9.88713e-02 1.42468e-01 -9.51197e-02 1.95619e-01
4.80000e+01 6.19464e-01 1.22881e-01 -1.32679e-01 1.11769e-01 1.57028e-01 1.44419e-01 3.30895e-01 2.56766e-01 3.65449e-02 3.21149e-01
4.90000e+01 6.60363e-01 5.96724e-02 1.26478e-02 1.88457e-02 1.13720e-01 -5.25784e-02 -2.44670e-02 8.16695e-02 -9.81566e-02 2.13777e-01
5.00000e+01 4.65136e-01 1.97375e-02 1.05243e-01 1.54074e-01 2.98371e-02 -6.39255e-03 9.10672e-02 3.19594e-01 1.51407e-01 1.20839e-01
